"";"sample_ID";"Experiment";"Datum";"Tag";"Flaschen_nr";"Treatment_typ";"Treatment_Level";"Intensity";"Replikat";"N_mg_l";"C_mg_l";"N_microg_l";"C_microg_l";"Fluoreszenz";"mean_intensity"
"1";"89 1 d2";"Incubation";"12.07.19";2;1;"Light";1;96,7;1;0,557;3,264;556,723;3263,952;108,88;96,575
"2";"90 2 d2";"Incubation";"12.07.19";2;2;"Light";1;96,45;2;0,636;3,783;635,628;3783,101;129,54;96,575
"3";"91 3 d2";"Incubation";"12.07.19";2;3;"Light";2;13,5;1;0,567;3,101;566,763;3101,444;74,64;13,7
"4";"92 4 d2";"Incubation";"12.07.19";2;4;"Light";2;13,9;2;0,611;3,436;611,384;3436,396;87,25;13,7
"5";"93 5 d2";"Incubation";"12.07.19";2;5;"Light";3;20,85;1;0,651;3,559;650,524;3558,771;93,32;20,25
"6";"94 6 d2";"Incubation";"12.07.19";2;6;"Light";3;19,65;2;0,619;3,515;618,944;3514,656;90,44;20,25
"7";"95 7 d2";"Incubation";"12.07.19";2;7;"Light";4;35,85;1;0,645;3,731;644,806;3731,473;148,58;34,5
"8";"96 8 d2";"Incubation";"12.07.19";2;8;"Light";4;33,15;2;0,614;3,501;613,981;3500,93;134,03;34,5
"9";"97 9 d2";"Incubation";"12.07.19";2;9;"Light";5;45,4;1;0,622;3,481;621,63;3481,266;117,37;44,25
"10";"98 10 d2";"Incubation";"12.07.19";2;10;"Light";5;43,1;2;0,599;3,465;598,735;3465,223;135,04;44,25
"11";"99 11 d2";"Incubation";"12.07.19";2;11;"Light";6;54;1;0,596;3,352;595,905;3351,822;114;54,65
"12";"100 12 d2";"Incubation";"12.07.19";2;12;"Light";6;55,3;2;0,593;3,761;593,45;3761,354;177,7;54,65
"13";"101 13 d2";"Incubation";"12.07.19";2;13;"Light";7;58,85;1;0,679;4,305;678,683;4305,062;132,6;58,9
"14";"102 14 d2";"Incubation";"12.07.19";2;14;"Light";7;58,95;2;0,667;3,964;666,806;3964,41;78,36;58,9
"15";"103 15 d2";"Incubation";"12.07.19";2;15;"Light";8;67,6;1;0,651;3,692;650,686;3691,92;91,07;66,55
"16";"104 16 d2";"Incubation";"12.07.19";2;16;"Light";8;65,5;2;0,663;3,835;663,033;3835,181;81,74;66,55
"17";"105 17 d2";"Incubation";"12.07.19";2;17;"Light";9;66,9;1;0,59;3,474;589,555;3473,599;274,6;68,15
"18";"106 18 d2";"Incubation";"12.07.19";2;18;"Light";9;69,4;2;0,57;3,686;570,217;3685,699;150,86;68,15
"19";"107 19 d2";"Incubation";"12.07.19";2;19;"Light";10;77,1;1;0,686;4,09;686,032;4089,805;104,6;75,725
"20";"108 20 d2";"Incubation";"12.07.19";2;20;"Light";10;74,35;2;0,583;3,591;582,59;3590,744;187,77;75,725
"21";"109 21 d2";"Incubation";"12.07.19";2;21;"Light";11;94,9;1;0,619;3,652;619,175;3652,134;146,43;95,575
"22";"110 22 d2";"Incubation";"12.07.19";2;22;"Light";11;96,25;2;0,648;3,779;647,867;3778,912;72,78;95,575
"23";"111 23 d2";"Incubation";"12.07.19";2;23;"Light";12;0,2;1;0,508;3,032;508,081;3031,934;75,1;0,2
"24";"112 1 d4";"Incubation";"14.07.19";4;1;"Light";1;96,7;1;0,688;3,821;688,003;3820,829;96,89;96,575
"25";"113 2 d4";"Incubation";"14.07.19";4;2;"Light";1;96,45;2;0,763;4,26;762,509;4259,69;342,27;96,575
"26";"114 3 d4";"Incubation";"14.07.19";4;3;"Light";2;13,5;1;0,571;3,068;571,148;3067,93;107,75;13,7
"27";"115 4 d4";"Incubation";"14.07.19";4;4;"Light";2;13,9;2;0,556;2,91;555,928;2910,42;133,71;13,7
"28";"116 5 d4";"Incubation";"14.07.19";4;5;"Light";3;20,85;1;0,594;3,205;593,652;3204,866;155,5;20,25
"29";"117 6 d4";"Incubation";"14.07.19";4;6;"Light";3;19,65;2;0,534;3,175;534,062;3174,598;135,27;20,25
"30";"118 7 d4";"Incubation";"14.07.19";4;7;"Light";4;35,85;1;0,676;3,957;675,568;3956,763;167,07;34,5
"31";"119 8 d4";"Incubation";"14.07.19";4;8;"Light";4;33,15;2;0,611;3,303;610,946;3302,904;251,47;34,5
"32";"120 9 d4";"Incubation";"14.07.19";4;9;"Light";5;45,4;1;0,637;3,662;636,704;3661,598;343,77;44,25
"33";"121 10 d4";"Incubation";"14.07.19";4;10;"Light";5;43,1;2;0,798;4,986;797,529;4985,918;245,63;44,25
"34";"122 11 d4";"Incubation";"14.07.19";4;11;"Light";6;54;1;0,735;4,17;735,414;4170,19;296,77;54,65
"35";"123 12 d4";"Incubation";"14.07.19";4;12;"Light";6;55,3;2;0,65;3,713;649,954;3713,432;288,9;54,65
"36";"124 13 d4";"Incubation";"14.07.19";4;13;"Light";7;58,85;1;0,712;4,095;712,05;4095,17;286,33;58,9
"37";"125 14 d4";"Incubation";"14.07.19";4;14;"Light";7;58,95;2;0,776;4,42;775,61;4419,541;252,57;58,9
"38";"126 15 d4";"Incubation";"14.07.19";4;15;"Light";8;67,6;1;0,695;4,032;695,073;4032,069;200,5;66,55
"39";"127 16 d4";"Incubation";"14.07.19";4;16;"Light";8;65,5;2;0,703;4,032;703,061;4032,182;204,03;66,55
"40";"128 17 d4";"Incubation";"14.07.19";4;17;"Light";9;66,9;1;0,674;4,116;673,677;4115,88;250,4;68,15
"41";"129 18 d4";"Incubation";"14.07.19";4;18;"Light";9;69,4;2;0,73;3,704;729,511;3704,16;295,07;68,15
"42";"130 19 d4";"Incubation";"14.07.19";4;19;"Light";10;77,1;1;0,853;4,376;853,285;4376,015;348,73;75,725
"43";"131 20 d4";"Incubation";"14.07.19";4;20;"Light";10;74,35;2;0,829;4,344;829,215;4344,159;304,37;75,725
"44";"132 21 d4";"Incubation";"14.07.19";4;21;"Light";11;94,9;1;0,749;3,948;749,376;3948,274;312,03;95,575
"45";"133 22 d4";"Incubation";"14.07.19";4;22;"Light";11;96,25;2;0,839;4,324;839,221;4323,532;224,03;95,575
"46";"134 23 d4";"Incubation";"14.07.19";4;23;"Light";12;0,2;1;0,403;2,026;402,676;2025,517;73,4;0,2
"47";"17 day 6 -1-";"Incubation";"16.07.19";6;1;"Light";1;96,7;1;0,869;4,862;868,973;4862,496;265,43;96,575
"48";"18 -2-";"Incubation";"16.07.19";6;2;"Light";1;96,45;2;1,043;5,883;1042,701;5883,111;581,97;96,575
"49";"19 -3-";"Incubation";"16.07.19";6;3;"Light";2;13,5;1;0,558;2,962;558,161;2962,123;197,8;13,7
"50";"20 -4-";"Incubation";"16.07.19";6;4;"Light";2;13,9;2;0,468;2,583;468,213;2583,019;127,53;13,7
"51";"21-5-";"Incubation";"16.07.19";6;5;"Light";3;20,85;1;0,655;3,591;655,379;3591,396;151,87;20,25
"52";"22 6";"Incubation";"16.07.19";6;6;"Light";3;19,65;2;0,559;3,062;559,288;3062,317;160,6;20,25
"53";"23 7";"Incubation";"16.07.19";6;7;"Light";4;35,85;1;0,622;3,478;621,874;3477,7;271,63;34,5
"54";"24 8";"Incubation";"16.07.19";6;8;"Light";4;33,15;2;0,66;3,636;659,866;3636,416;287,97;34,5
"55";"25 9";"Incubation";"16.07.19";6;9;"Light";5;45,4;1;0,681;4,036;681,248;4036,13;178,97;44,25
"56";"26 10";"Incubation";"16.07.19";6;10;"Light";5;43,1;2;0,682;3,899;681,758;3899,427;323,93;44,25
"57";"27 11";"Incubation";"16.07.19";6;11;"Light";6;54;1;0,797;4,717;797,494;4716,822;224,53;54,65
"58";"28 12";"Incubation";"16.07.19";6;12;"Light";6;55,3;2;0,565;3,258;564,807;3258,461;135,43;54,65
"59";"29 13";"Incubation";"16.07.19";6;13;"Light";7;58,85;1;0,71;4,502;709,713;4502,096;270,03;58,9
"60";"30 14";"Incubation";"16.07.19";6;14;"Light";7;58,95;2;0,69;4,549;689,914;4548,549;326,7;58,9
"61";"31 15";"Incubation";"16.07.19";6;15;"Light";8;67,6;1;0,708;4,569;707,836;4569,474;751,63;66,55
"62";"32 16";"Incubation";"16.07.19";6;16;"Light";8;65,5;2;0,711;4,403;710,911;4402,629;300,5;66,55
"63";"33 17";"Incubation";"16.07.19";6;17;"Light";9;66,9;1;0,721;4,538;721,228;4537,903;359,47;68,15
"64";"34 18";"Incubation";"16.07.19";6;18;"Light";9;69,4;2;0,816;4,794;815,681;4793,826;412,2;68,15
"65";"35 19";"Incubation";"16.07.19";6;19;"Light";10;77,1;1;0,857;4,822;856,89;4821,563;484,03;75,725
"66";"36 20";"Incubation";"16.07.19";6;20;"Light";10;74,35;2;0,75;4,503;749,501;4502,707;173,4;75,725
"67";"37 21";"Incubation";"16.07.19";6;21;"Light";11;94,9;1;0,701;4,458;700,506;4458,034;138,13;95,575
"68";"38 22";"Incubation";"16.07.19";6;22;"Light";11;96,25;2;0,736;4,543;736,169;4543,236;533,57;95,575
"69";"39 23";"Incubation";"16.07.19";6;23;"Light";12;0,2;1;0,381;2,091;380,557;2091,192;66,38;0,2
"70";"40 day8 1";"Incubation";"18.07.19";8;1;"Light";1;96,7;1;0,807;5,093;806,614;5092,531;312,83;96,575
"71";"41 2";"Incubation";"18.07.19";8;2;"Light";1;96,45;2;0,854;5,248;854,405;5247,738;248,93;96,575
"72";"42 3";"Incubation";"18.07.19";8;3;"Light";2;13,5;1;0,508;2,705;508,129;2704,816;109,33;13,7
"73";"43 4";"Incubation";"18.07.19";8;4;"Light";2;13,9;2;0,513;2,878;513,238;2877,688;195,9;13,7
"74";"44 5";"Incubation";"18.07.19";8;5;"Light";3;20,85;1;0,58;3,401;579,89;3401,058;118,87;20,25
"75";"45 6";"Incubation";"18.07.19";8;6;"Light";3;19,65;2;0,541;3,228;541,392;3227,786;172,27;20,25
"76";"46 7";"Incubation";"18.07.19";8;7;"Light";4;35,85;1;0,642;3,593;642,086;3593,177;184,47;34,5
"77";"47 8";"Incubation";"18.07.19";8;8;"Light";4;33,15;2;0,667;3,712;667,378;3712,15;288,4;34,5
"78";"48 9";"Incubation";"18.07.19";8;9;"Light";5;45,4;1;0,555;3,069;555,008;3068,894;79,6;44,25
"79";"49 10";"Incubation";"18.07.19";8;10;"Light";5;43,1;2;0,666;3,675;665,689;3674,88;110,04;44,25
"80";"50 11";"Incubation";"18.07.19";8;11;"Light";6;54;1;0,6;3,328;600,484;3327,609;82,8;54,65
"81";"51 12";"Incubation";"18.07.19";8;12;"Light";6;55,3;2;0,643;3,83;642,941;3830,407;86,53;54,65
"82";"52 13";"Incubation";"18.07.19";8;13;"Light";7;58,85;1;0,625;4,25;624,773;4249,613;103,56;58,9
"83";"53 14";"Incubation";"18.07.19";8;14;"Light";7;58,95;2;0,627;3,714;627,327;3714,1;180,03;58,9
"84";"54 15";"Incubation";"18.07.19";8;15;"Light";8;67,6;1;0,63;3,669;629,842;3669,228;192,3;66,55
"85";"55 16";"Incubation";"18.07.19";8;16;"Light";8;65,5;2;0,651;3,735;651,238;3734,898;241,17;66,55
"86";"56 17";"Incubation";"18.07.19";8;17;"Light";9;66,9;1;0,595;4,093;595,201;4093,07;77,55;68,15
"87";"57 18";"Incubation";"18.07.19";8;18;"Light";9;69,4;2;0,737;4,229;736,935;4228,989;186,73;68,15
"88";"58 19";"Incubation";"18.07.19";8;19;"Light";10;77,1;1;0,701;4,161;700,805;4160,739;182,67;75,725
"89";"59 20";"Incubation";"18.07.19";8;20;"Light";10;74,35;2;0,72;4,693;719,648;4693,482;131,23;75,725
"90";"60 21";"Incubation";"18.07.19";8;21;"Light";11;94,9;1;0,669;4,56;669,24;4559,925;115,64;95,575
"91";"61 22";"Incubation";"18.07.19";8;22;"Light";11;96,25;2;0,8;4,815;800,381;4815,468;301,17;95,575
"92";"62 23";"Incubation";"18.07.19";8;23;"Light";12;0,2;1;0,237;1,944;236,83;1944,471;45,71;0,2
"93";"63 day10 1";"Incubation";"20.07.19";10;1;"Light";1;96,7;1;0,744;4,453;743,84;4452,885;168,03;96,575
"94";"64 2";"Incubation";"20.07.19";10;2;"Light";1;96,45;2;0,955;5,775;955,134;5775,145;537,53;96,575
"95";"65 3";"Incubation";"20.07.19";10;3;"Light";2;13,5;1;0,47;2,271;469,722;2270,977;205,17;13,7
"96";"66 4";"Incubation";"20.07.19";10;4;"Light";2;13,9;2;0,529;2,61;528,731;2609,617;310,3;13,7
"97";"67 5";"Incubation";"20.07.19";10;5;"Light";3;20,85;1;0,467;2,244;466,977;2244,349;413,6;20,25
"98";"68 6";"Incubation";"20.07.19";10;6;"Light";3;19,65;2;0,592;3,357;592,454;3356,942;359,7;20,25
"99";"69 7";"Incubation";"20.07.19";10;7;"Light";4;35,85;1;0,59;3,126;589,595;3126,237;362,1;34,5
"100";"70 8";"Incubation";"20.07.19";10;8;"Light";4;33,15;2;0,59;3,076;589,988;3075,8;445,97;34,5
"101";"71 9";"Incubation";"20.07.19";10;9;"Light";5;45,4;1;0,544;2,841;543,635;2840,868;177,48;44,25
"102";"72 10";"Incubation";"20.07.19";10;10;"Light";5;43,1;2;0,701;4,031;701,44;4030,798;171,2;44,25
"103";"73 11";"Incubation";"20.07.19";10;11;"Light";6;54;1;0,655;3,735;654,88;3735,206;78,68;54,65
"104";"74 12";"Incubation";"20.07.19";10;12;"Light";6;55,3;2;0,728;3,884;727,598;3883,656;139,37;54,65
"105";"75 13";"Incubation";"20.07.19";10;13;"Light";7;58,85;1;0,715;4,251;714,801;4251,485;136,73;58,9
"106";"76 14";"Incubation";"20.07.19";10;14;"Light";7;58,95;2;0,503;2,847;503,263;2847,286;162,37;58,9
"107";"77 15";"Incubation";"20.07.19";10;15;"Light";8;67,6;1;0,55;3,444;549,655;3443,788;280,3;66,55
"108";"78 16";"Incubation";"20.07.19";10;16;"Light";8;65,5;2;0,54;3,205;540,23;3205,434;315,07;66,55
"109";"79 17";"Incubation";"20.07.19";10;17;"Light";9;66,9;1;0,633;3,66;632,706;3659,973;142,7;68,15
"110";"80 18";"Incubation";"20.07.19";10;18;"Light";9;69,4;2;0,632;3,994;631,989;3993,939;225,77;68,15
"111";"81 19";"Incubation";"20.07.19";10;19;"Light";10;77,1;1;0,763;4,416;763,061;4415,787;251,77;75,725
"112";"82 20";"Incubation";"20.07.19";10;20;"Light";10;74,35;2;0,771;4,779;771,177;4778,809;197,13;75,725
"113";"83 21";"Incubation";"20.07.19";10;21;"Light";11;94,9;1;0,549;3,389;548,767;3389,318;102,07;95,575
"114";"84 22";"Incubation";"20.07.19";10;22;"Light";11;96,25;2;0,814;4,96;813,588;4959,698;457,17;95,575
"115";"85 23";"Incubation";"20.07.19";10;23;"Light";12;0,2;1;0,187;1,146;187,254;1146,402;41,5;0,2
